peek_index,side,lag_ms,r,n_overlap
3,R,117.1875,0.3506589465181778,47
3,R,125.0,0.3265937935739376,46
3,R,132.8125,0.29073173944931446,45
3,R,140.625,0.24121604556215137,44
3,R,148.4375,0.1841571642429544,43
3,R,156.25,0.11786839377782984,42
3,R,164.0625,0.044172435337700426,41
3,R,171.875,-0.025712374100537953,40
3,R,179.6875,-0.11098292952289936,39
3,R,187.5,-0.20218742291591862,38
3,R,195.3125,-0.3162117425522288,37
3,R,203.125,-0.4312859350464106,36
3,R,210.9375,-0.5036952175307818,35
3,R,218.75,-0.6012071977189652,34
3,R,226.5625,-0.6962947740029672,33
3,R,234.375,-0.7730502757718221,32
3,R,242.1875,-0.8323650319785182,31
3,R,250.0,-0.8629959842666437,30
4,L,-250.0,0.5959222531215111,27
4,L,-242.1875,0.6413170646708543,28
4,L,-234.375,0.6991234924011693,29
4,L,-226.5625,0.74950039073777,30
4,L,-218.75,0.7957416247119999,31
4,L,-210.9375,0.8364622918956569,32
4,L,-203.125,0.8664391253225922,33
4,L,-195.3125,0.8883691574151558,34
4,L,-187.5,0.9066200344800082,35
4,L,-179.6875,0.9056161060067374,36
4,L,-171.875,0.9187684088752144,37
4,L,-164.0625,0.9270353230687444,38
4,L,-156.25,0.9361086894114667,39
4,L,-148.4375,0.9220252736045516,40
4,L,-140.625,0.9047974757994021,41
4,L,-132.8125,0.8783735785618106,42
4,L,-125.0,0.7745877736624308,43
4,L,-117.1875,0.6781988739305144,44
4,L,-109.375,0.5762650360320504,45
4,L,-101.5625,0.3744797832494353,46
4,L,-93.75,0.207442138649272,47
4,L,-85.9375,0.06179996416280944,48
4,L,-78.125,-0.06284427242370039,49
4,L,-70.3125,-0.16955677737870012,50
4,L,-62.5,-0.27067614795842077,51
4,L,-54.6875,-0.36093460069637257,52
4,L,-46.875,-0.4405039905074792,53
4,L,-39.0625,-0.5043212681620444,54
4,L,-31.25,-0.5627523285927811,55
4,L,-23.4375,-0.6122679542454671,56
4,L,-15.625,-0.6588494178466319,57
4,L,-7.8125,-0.6835785877729539,58
4,L,0.0,-0.7032899333995571,59
4,L,7.8125,-0.7224329319228667,58
4,L,15.625,-0.7393320027083065,57
4,L,23.4375,-0.7477135999799005,56
4,L,31.25,-0.7506577176822563,55
4,L,39.0625,-0.7460426862070664,54
4,L,46.875,-0.7315386646833444,53
4,L,54.6875,-0.706249160269937,52
4,L,62.5,-0.6776733050657097,51
4,L,70.3125,-0.6389090135946176,50
4,L,78.125,-0.5900057835551162,49
4,L,85.9375,-0.5284362853692688,48
4,L,93.75,-0.45499559025867675,47
4,L,101.5625,-0.40563389815234246,46
4,L,109.375,-0.33389334199576576,45
4,L,117.1875,-0.2580319079281767,44
